artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,preview_url,preview_url
Marke020,0.245,https://api.spotify.com/v1/audio-analysis/2WinkBWxWJ1Mbq959vTRPw,0.805,173833,0.384,2WinkBWxWJ1Mbq959vTRPw,0,6,0.0415,-8.515,0,0.444,89.963,4,https://api.spotify.com/v1/tracks/2WinkBWxWJ1Mbq959vTRPw,audio_features,spotify:track:2WinkBWxWJ1Mbq959vTRPw,0.469,Afro QNSB,https://p.scdn.co/mp3-preview/c61a9d77fdf2740fa08dc30dcd8551c635435bda?cid=f0ab2ded1b8a482188532d1f3441d07c,2WinkBWxWJ1Mbq959vTRPw
Afroto,0.426,https://api.spotify.com/v1/audio-analysis/2Mv3lhZmdcCFjSWpMKf70i,0.82,216711,0.513,2Mv3lhZmdcCFjSWpMKf70i,0,1,0.0794,-10.434,1,0.0988,152.016,4,https://api.spotify.com/v1/tracks/2Mv3lhZmdcCFjSWpMKf70i,audio_features,spotify:track:2Mv3lhZmdcCFjSWpMKf70i,0.585,MAREED,https://p.scdn.co/mp3-preview/c6da39b2e4295f991bc48fc06ccaa16de97c32a7?cid=f0ab2ded1b8a482188532d1f3441d07c,2Mv3lhZmdcCFjSWpMKf70i
Husayn,0.125,https://api.spotify.com/v1/audio-analysis/4TsCqhS1FsmVTXrNzjykbr,0.579,134685,0.514,4TsCqhS1FsmVTXrNzjykbr,0,2,0.378,-11.753,1,0.427,94.548,5,https://api.spotify.com/v1/tracks/4TsCqhS1FsmVTXrNzjykbr,audio_features,spotify:track:4TsCqhS1FsmVTXrNzjykbr,0.434,SAME3 EL HAKY,https://p.scdn.co/mp3-preview/e4e49e950de7c60fff1fe5489bc99464101cf1e0?cid=f0ab2ded1b8a482188532d1f3441d07c,4TsCqhS1FsmVTXrNzjykbr
alejandroooo,0.586,https://api.spotify.com/v1/audio-analysis/6waIySVkJLwAEfWyHlRCvA,0.583,174638,0.892,6waIySVkJLwAEfWyHlRCvA,0,7,0.386,-4.587,0,0.274,121.496,3,https://api.spotify.com/v1/tracks/6waIySVkJLwAEfWyHlRCvA,audio_features,spotify:track:6waIySVkJLwAEfWyHlRCvA,0.884,Afro,https://p.scdn.co/mp3-preview/8b064c78d91b6dff8361642e282df2337bbffc4a?cid=f0ab2ded1b8a482188532d1f3441d07c,6waIySVkJLwAEfWyHlRCvA
MHD,0.0662,https://api.spotify.com/v1/audio-analysis/1ZSdPeVhNy8VuSiXM3pXhv,0.89,154253,0.744,1ZSdPeVhNy8VuSiXM3pXhv,0,11,0.0648,-8.145,0,0.365,123.935,4,https://api.spotify.com/v1/tracks/1ZSdPeVhNy8VuSiXM3pXhv,audio_features,spotify:track:1ZSdPeVhNy8VuSiXM3pXhv,0.636,Afro Trap Part. 11 (King Kong),https://p.scdn.co/mp3-preview/774c6cc48bcea4d9459cc216d9791f5810b77e14?cid=f0ab2ded1b8a482188532d1f3441d07c,1ZSdPeVhNy8VuSiXM3pXhv
Afroto,0.497,https://api.spotify.com/v1/audio-analysis/01f33G6cZGQxVRIkntUFxf,0.706,219011,0.448,01f33G6cZGQxVRIkntUFxf,2.58E-05,4,0.113,-8.754,0,0.039,114.899,4,https://api.spotify.com/v1/tracks/01f33G6cZGQxVRIkntUFxf,audio_features,spotify:track:01f33G6cZGQxVRIkntUFxf,0.378,متفقين,https://p.scdn.co/mp3-preview/400e630fa6eb9ae3972862290f0cc250d795dc1f?cid=f0ab2ded1b8a482188532d1f3441d07c,01f33G6cZGQxVRIkntUFxf
Lebzin,0.156,https://api.spotify.com/v1/audio-analysis/1kwnjlPHIkwfFUFXUJcmj3,0.643,273684,0.793,1kwnjlPHIkwfFUFXUJcmj3,0,3,0.13,-7.609,0,0.134,113.991,4,https://api.spotify.com/v1/tracks/1kwnjlPHIkwfFUFXUJcmj3,audio_features,spotify:track:1kwnjlPHIkwfFUFXUJcmj3,0.514,Sweet Nothings - Original Mix,https://p.scdn.co/mp3-preview/33588f0b120735bdaa6d0fbe8d930a11a6347bec?cid=f0ab2ded1b8a482188532d1f3441d07c,1kwnjlPHIkwfFUFXUJcmj3
Tubby Love,0.117,https://api.spotify.com/v1/audio-analysis/4FuyoF36dlzpwp1usEATgx,0.69,265588,0.892,4FuyoF36dlzpwp1usEATgx,0.755,9,0.0338,-7.105,0,0.0448,111.951,3,https://api.spotify.com/v1/tracks/4FuyoF36dlzpwp1usEATgx,audio_features,spotify:track:4FuyoF36dlzpwp1usEATgx,0.972,Afro,https://p.scdn.co/mp3-preview/d9bb5b6b8dfe45e9914b955206b136be4c7b3d49?cid=f0ab2ded1b8a482188532d1f3441d07c,4FuyoF36dlzpwp1usEATgx
Afroto,0.823,https://api.spotify.com/v1/audio-analysis/19SfhgRgJxg0SpiVs21tGo,0.622,180010,0.558,19SfhgRgJxg0SpiVs21tGo,0,1,0.135,-6.398,0,0.227,94.491,4,https://api.spotify.com/v1/tracks/19SfhgRgJxg0SpiVs21tGo,audio_features,spotify:track:19SfhgRgJxg0SpiVs21tGo,0.123,كاسين,https://p.scdn.co/mp3-preview/2ec33fee6f580463d909c12d1cd09cca6a05cdd5?cid=f0ab2ded1b8a482188532d1f3441d07c,19SfhgRgJxg0SpiVs21tGo
firebeats056,0.755,https://api.spotify.com/v1/audio-analysis/0IG5b6a1WycFZZmOfOhOLY,0.897,265545,0.216,0IG5b6a1WycFZZmOfOhOLY,0.854,11,0.0685,-12.206,0,0.417,93.944,4,https://api.spotify.com/v1/tracks/0IG5b6a1WycFZZmOfOhOLY,audio_features,spotify:track:0IG5b6a1WycFZZmOfOhOLY,0.671,afro,https://p.scdn.co/mp3-preview/6d631f75d3e4116ed6a2c68691d6a62c8c1bf0fb?cid=f0ab2ded1b8a482188532d1f3441d07c,0IG5b6a1WycFZZmOfOhOLY
Marwan Moussa,0.201,https://api.spotify.com/v1/audio-analysis/3sHG3Wv2MqYFRZhUdnIXCO,0.754,217000,0.423,3sHG3Wv2MqYFRZhUdnIXCO,0,4,0.0795,-7.685,0,0.176,147.119,4,https://api.spotify.com/v1/tracks/3sHG3Wv2MqYFRZhUdnIXCO,audio_features,spotify:track:3sHG3Wv2MqYFRZhUdnIXCO,0.33,Beluga,https://p.scdn.co/mp3-preview/5a62200bd7887826a5e9d5c7a7372c4248313e14?cid=f0ab2ded1b8a482188532d1f3441d07c,3sHG3Wv2MqYFRZhUdnIXCO
MHD,0.549,https://api.spotify.com/v1/audio-analysis/6CLdZtprDsnqgH3xjsYxJK,0.888,154947,0.83,6CLdZtprDsnqgH3xjsYxJK,0,11,0.104,-3.408,0,0.0823,127.979,4,https://api.spotify.com/v1/tracks/6CLdZtprDsnqgH3xjsYxJK,audio_features,spotify:track:6CLdZtprDsnqgH3xjsYxJK,0.745,Afro Trap Pt. 5 (Ngatie Abedi),https://p.scdn.co/mp3-preview/b589fb2eb2dfeb4a30a588367b8909f31206063b?cid=f0ab2ded1b8a482188532d1f3441d07c,6CLdZtprDsnqgH3xjsYxJK
Afroto,0.0609,https://api.spotify.com/v1/audio-analysis/1Mtf8OuYCofl0H4p9HI6o7,0.729,157403,0.596,1Mtf8OuYCofl0H4p9HI6o7,0,1,0.0813,-8.944,1,0.381,77.088,4,https://api.spotify.com/v1/tracks/1Mtf8OuYCofl0H4p9HI6o7,audio_features,spotify:track:1Mtf8OuYCofl0H4p9HI6o7,0.68,VALENTINO,https://p.scdn.co/mp3-preview/e0d859c3b30d895a9fd60120ff0e2627f34e375f?cid=f0ab2ded1b8a482188532d1f3441d07c,1Mtf8OuYCofl0H4p9HI6o7
TAUK,0.00262,https://api.spotify.com/v1/audio-analysis/4SVL0K4unyG4uorKgsDliE,0.563,817507,0.703,4SVL0K4unyG4uorKgsDliE,0.729,6,0.865,-7.455,0,0.03,102.795,4,https://api.spotify.com/v1/tracks/4SVL0K4unyG4uorKgsDliE,audio_features,spotify:track:4SVL0K4unyG4uorKgsDliE,0.463,"Afro-Tonic – February 1, 2019",https://p.scdn.co/mp3-preview/c3f42870d53218590c42252586bbd51229b2fbed?cid=f0ab2ded1b8a482188532d1f3441d07c,4SVL0K4unyG4uorKgsDliE
Afroto,0.35,https://api.spotify.com/v1/audio-analysis/18vgXrkt2LuZDyT96YjB4B,0.773,184000,0.519,18vgXrkt2LuZDyT96YjB4B,0,1,0.151,-8.516,0,0.12,111.92,4,https://api.spotify.com/v1/tracks/18vgXrkt2LuZDyT96YjB4B,audio_features,spotify:track:18vgXrkt2LuZDyT96YjB4B,0.348,Adary,https://p.scdn.co/mp3-preview/02101f1ed894bf4491a6ab812df72df8980c3e93?cid=f0ab2ded1b8a482188532d1f3441d07c,18vgXrkt2LuZDyT96YjB4B
El Bala,0.443,https://api.spotify.com/v1/audio-analysis/6kgmPiC9MEBXR3R9v33rKF,0.581,137640,0.872,6kgmPiC9MEBXR3R9v33rKF,0.00075,5,0.362,-6.325,0,0.107,103.523,3,https://api.spotify.com/v1/tracks/6kgmPiC9MEBXR3R9v33rKF,audio_features,spotify:track:6kgmPiC9MEBXR3R9v33rKF,0.498,Afro Royce,https://p.scdn.co/mp3-preview/0812a2847ee0cc5157902c3088cab1d1b9a50e3c?cid=f0ab2ded1b8a482188532d1f3441d07c,6kgmPiC9MEBXR3R9v33rKF
Afroto,0.0184,https://api.spotify.com/v1/audio-analysis/0TvMcVxIQaxZCkT4R6yjpS,0.783,196364,0.59,0TvMcVxIQaxZCkT4R6yjpS,0,11,0.0835,-10.527,1,0.222,164.933,4,https://api.spotify.com/v1/tracks/0TvMcVxIQaxZCkT4R6yjpS,audio_features,spotify:track:0TvMcVxIQaxZCkT4R6yjpS,0.711,TEGE GOAL,https://p.scdn.co/mp3-preview/d1235b7d3c34322212f7b505ff3b20d872dd5fa8?cid=f0ab2ded1b8a482188532d1f3441d07c,0TvMcVxIQaxZCkT4R6yjpS
Afroto,0.182,https://api.spotify.com/v1/audio-analysis/1B2gKHmu5opQ5b5NH8qB9t,0.764,164424,0.518,1B2gKHmu5opQ5b5NH8qB9t,0,2,0.126,-8.432,1,0.0676,100.02,4,https://api.spotify.com/v1/tracks/1B2gKHmu5opQ5b5NH8qB9t,audio_features,spotify:track:1B2gKHmu5opQ5b5NH8qB9t,0.079,Ento A3da2e - انتوا اعدائى,https://p.scdn.co/mp3-preview/0ca995754b14cb23177c21151d2382afbdb6399a?cid=f0ab2ded1b8a482188532d1f3441d07c,1B2gKHmu5opQ5b5NH8qB9t
